## ADAM #######################

#Kraken
| LOC | 1090      | 608     | 0.558     | 0.63   | 0.592 | 965     |
| All | 1090      | 608     | 0.558     | 0.63   | 0.592 | 965     |



## FLAUBERT #######################

#Kraken
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 3107      | 655     | 0.211     | 0.411  | 0.279 | 1592    |
| All | 3107      | 655     | 0.211     | 0.411  | 0.279 | 1592    |

#TesseractFra
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 2084      | 1046    | 0.502     | 0.657  | 0.569 | 1592    |
| All | 2084      | 1046    | 0.502     | 0.657  | 0.569 | 1592    |

#Tesseract
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 2398      | 920     | 0.384     | 0.578  | 0.461 | 1592    |
| All | 2398      | 920     | 0.384     | 0.578  | 0.461 | 1592    |



## MAUPASSANT #######################

#Kraken
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 1159      | 131     | 0.113     | 0.357  | 0.172 | 367     |
| All | 1159      | 131     | 0.113     | 0.357  | 0.172 | 367     |

#TesseractFra
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 647       | 207     | 0.32      | 0.564  | 0.408 | 367     |
| All | 647       | 207     | 0.32      | 0.564  | 0.408 | 367     |

#Tesseract
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 831       | 160     | 0.193     | 0.436  | 0.267 | 367     |
| All | 831       | 160     | 0.193     | 0.436  | 0.267 | 367     |



## NOAILLES #######################

#Kraken
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 647       | 82      | 0.127     | 0.39   | 0.191 | 210     |
| All | 647       | 82      | 0.127     | 0.39   | 0.191 | 210     |

#TesseractFra
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 387       | 142     | 0.367     | 0.676  | 0.476 | 210     |
| All | 387       | 142     | 0.367     | 0.676  | 0.476 | 210     |

#Tesseract
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 611       | 105     | 0.172     | 0.5    | 0.256 | 210     |
| All | 611       | 105     | 0.172     | 0.5    | 0.256 | 210     |
